timestamp,id_maquina,idade_equipamento_meses,id_operador,turno,temperatura_c,vibracao_rms,pressao,unidade_pressao,corrente_a,rpm,horas_operacao,falha_72h
2026-06-08 00:00:00,M01,171,OP-12,1,65.93,2.255,4.175,bar,18.18,1772.8,21360.0,0
2026-06-08 00:00:00,M02,115,OP-12,1,71.18,3.349,3.885,bar,19.43,1756.0,14640.0,0
2026-06-08 00:00:00,M03,125,OP-03,1,69.69,,3.446,bar,20.72,1747.6,15840.0,0
2026-06-08 00:00:00,M04,163,OP-07,1,64.37,2.734,3.959,bar,18.92,1770.5,20400.0,0
2026-06-08 00:00:00,M05,107,OP-03,1,71.68,3.572,3.755,bar,20.68,1753.7,13680.0,0
2026-06-08 00:00:00,M06,141,OP-06,1,65.55,2.339,4.071,bar,18.21,1767.9,17760.0,0
2026-06-08 00:00:00,M07,151,OP-08,1,63.69,3.046,4.002,bar,18.86,1761.4,18960.0,0
2026-06-08 00:00:00,M08,45,OP-06,1,65.35,2.065,4.012,bar,17.69,1778.8,6240.0,0
2026-06-08 00:00:00,M09,15,OP-08,1,69.06,2.618,3.774,bar,19.78,1766.5,2640.0,0
2026-06-08 00:00:00,M10,58,OP-02,1,67.55,3.957,3.696,bar,20.3,1723.8,7800.0,0
2026-06-08 00:00:00,M11,55,OP-07,1,79.55,4.409,3.612,bar,22.19,1733.7,7440.0,1
2026-06-08 00:00:00,M12,158,OP-09,1,64.29,2.028,4.053,bar,17.4,1766.2,19800.0,0
2026-06-08 00:00:00,M13,165,OP-06,1,72.6,3.927,3.392,bar,20.85,1746.4,20640.0,0
2026-06-08 00:00:00,M14,6,OP-04,1,63.82,2.827,4.048,bar,19.04,1763.9,1560.0,0
2026-06-08 00:00:00,M15,93,OP-02,1,68.88,,3.881,bar,19.79,1763.5,12000.0,0
2026-06-08 00:00:00,M16,149,OP-10,1,61.01,2.414,4.092,bar,18.53,1763.3,18720.0,0
2026-06-08 00:00:00,M17,29,OP-07,1,69.61,3.957,3.875,bar,20.35,1746.3,4320.0,1
2026-06-08 00:00:00,M18,145,OP-07,1,75.04,4.091,53.083,psi,20.56,1732.9,18240.0,0
2026-06-08 00:00:00,M19,26,OP-03,1,69.12,3.539,54.622,psi,19.92,1741.7,3960.0,0
2026-06-08 00:00:00,M20,87,OP-05,1,64.52,2.351,59.315,psi,18.49,1770.2,11280.0,0
2026-06-08 00:00:00,M21,148,OP-03,1,71.32,3.675,54.815,psi,20.17,1750.6,18600.0,1
2026-06-08 00:00:00,M22,59,OP-04,1,67.13,2.941,60.611,psi,19.19,1756.5,7920.0,0
2026-06-08 00:00:00,M23,65,OP-04,1,75.64,4.345,56.913,psi,20.79,1737.3,8640.0,0
2026-06-08 00:00:00,M24,54,OP-06,1,64.71,2.398,60.356,psi,17.88,1779.2,7320.0,0
2026-06-08 00:00:00,M25,131,OP-01,1,76.48,3.878,50.752,psi,20.61,1741.3,16560.0,0
2026-06-08 01:00:00,M01,171,OP-10,1,62.21,2.361,4.193,bar,19.16,1778.6,21361.0,0
2026-06-08 01:00:00,M02,115,OP-06,1,69.91,3.415,3.781,bar,19.76,1747.1,14641.0,0
2026-06-08 01:00:00,M03,125,OP-04,1,73.74,4.02,3.665,bar,20.97,1754.8,15841.0,0
2026-06-08 01:00:00,M04,163,OP-10,1,69.59,2.582,3.924,bar,19.09,1762.0,20401.0,0
2026-06-08 01:00:00,M05,107,OP-11,1,70.31,3.294,4.002,bar,20.29,1756.7,13681.0,0
2026-06-08 01:00:00,M06,141,OP-06,1,63.33,2.599,4.014,bar,18.2,1762.4,17761.0,0
2026-06-08 01:00:00,M07,151,OP-04,1,64.95,2.758,3.786,bar,18.5,1752.0,18961.0,0
2026-06-08 01:00:00,M08,45,OP-12,1,65.6,2.171,4.025,bar,18.69,1787.8,6241.0,0
2026-06-08 01:00:00,M09,15,OP-07,1,69.91,2.777,3.895,bar,19.8,1775.1,2641.0,0
2026-06-08 01:00:00,M10,58,OP-07,1,70.64,3.976,3.661,bar,20.95,1734.1,7801.0,0
2026-06-08 01:00:00,M11,55,OP-04,1,74.38,4.658,3.575,bar,22.2,1729.8,7441.0,1
2026-06-08 01:00:00,M12,158,OP-07,1,64.0,2.3,4.057,bar,18.35,1773.5,19801.0,0
2026-06-08 01:00:00,M13,165,OP-03,1,75.99,3.891,3.749,bar,20.83,1739.3,20641.0,0
2026-06-08 01:00:00,M14,6,OP-11,1,60.93,2.906,4.07,bar,19.29,1766.3,1561.0,0
2026-06-08 01:00:00,M15,93,OP-11,1,71.73,,3.961,bar,19.99,1738.4,12001.0,0
2026-06-08 01:00:00,M16,149,OP-10,1,63.51,2.538,3.895,bar,18.5,1757.5,18721.0,0
2026-06-08 01:00:00,M17,29,OP-03,1,67.93,4.102,3.387,bar,20.42,1740.9,4321.0,1
2026-06-08 01:00:00,M18,145,OP-07,1,67.28,4.191,57.557,psi,20.56,1741.0,18241.0,0
2026-06-08 01:00:00,M19,26,OP-04,1,69.57,3.118,55.182,psi,20.66,1761.0,3961.0,0
2026-06-08 01:00:00,M20,87,OP-12,1,64.13,2.394,59.866,psi,18.58,1776.6,11281.0,0
2026-06-08 01:00:00,M21,148,OP-07,1,72.88,3.315,56.014,psi,19.81,1752.4,18601.0,1
2026-06-08 01:00:00,M22,59,OP-01,1,69.95,2.769,58.209,psi,17.62,1776.5,7921.0,0
2026-06-08 01:00:00,M23,65,OP-01,1,71.57,3.868,55.813,psi,20.96,1749.6,8641.0,0
2026-06-08 01:00:00,M24,54,OP-11,1,68.81,2.264,59.274,psi,18.25,1769.9,7321.0,0
2026-06-08 01:00:00,M25,131,OP-05,1,74.9,4.038,52.618,psi,21.68,1744.0,16561.0,0
2026-06-08 02:00:00,M01,171,OP-07,1,61.65,2.473,4.171,bar,18.99,1785.9,21362.0,0
2026-06-08 02:00:00,M02,115,OP-07,1,68.5,,3.811,bar,21.05,1746.3,14642.0,0
2026-06-08 02:00:00,M03,125,OP-12,1,72.8,3.889,3.531,bar,20.64,1737.5,15842.0,0
2026-06-08 02:00:00,M04,163,OP-11,1,59.11,2.643,4.067,bar,19.59,1793.1,20402.0,0
2026-06-08 02:00:00,M05,107,OP-07,1,68.15,3.474,3.686,bar,19.78,1759.4,13682.0,0
2026-06-08 02:00:00,M06,141,OP-12,1,63.11,2.701,3.856,bar,18.59,1756.8,17762.0,0
2026-06-08 02:00:00,M07,151,OP-11,1,68.3,2.661,4.06,bar,19.59,1762.3,18962.0,0
2026-06-08 02:00:00,M08,45,OP-01,1,63.8,2.067,4.052,bar,18.28,1769.9,6242.0,0
2026-06-08 02:00:00,M09,15,OP-03,1,66.3,2.826,4.194,bar,18.63,1756.7,2642.0,0
2026-06-08 02:00:00,M10,58,OP-09,1,72.25,3.999,3.849,bar,21.66,1756.9,7802.0,0
2026-06-08 02:00:00,M11,55,OP-07,1,68.03,4.646,3.3,bar,22.27,1729.8,7442.0,1
2026-06-08 02:00:00,M12,158,OP-12,1,64.93,2.393,3.949,bar,18.34,1770.6,19802.0,0
2026-06-08 02:00:00,M13,165,OP-08,1,69.83,3.976,3.949,bar,20.56,1734.4,20642.0,0
2026-06-08 02:00:00,M14,6,OP-03,1,64.25,2.581,3.872,bar,18.95,1762.8,1562.0,0
2026-06-08 02:00:00,M15,93,OP-11,1,70.4,,3.766,bar,19.98,1759.8,12002.0,0
2026-06-08 02:00:00,M16,149,OP-07,1,64.51,2.521,4.072,bar,19.05,1759.2,18722.0,0
2026-06-08 02:00:00,M17,29,OP-07,1,73.66,4.003,3.832,bar,21.04,1738.1,4322.0,1
2026-06-08 02:00:00,M18,145,OP-04,1,65.04,4.094,54.924,psi,20.94,1752.7,18242.0,0
2026-06-08 02:00:00,M19,26,OP-11,1,70.21,3.566,58.408,psi,20.06,1755.8,3962.0,0
2026-06-08 02:00:00,M20,87,OP-12,1,67.47,2.138,57.709,psi,18.09,1763.8,11282.0,0
2026-06-08 02:00:00,M21,148,OP-04,1,69.99,3.676,54.617,psi,19.78,1733.8,18602.0,1
2026-06-08 02:00:00,M22,59,OP-10,1,61.7,3.118,59.333,psi,20.16,1765.6,7922.0,0
2026-06-08 02:00:00,M23,65,OP-10,1,75.92,,51.67,psi,20.59,1744.9,8642.0,0
2026-06-08 02:00:00,M24,54,OP-02,1,58.86,2.262,59.168,psi,18.23,1771.5,7322.0,0
2026-06-08 02:00:00,M25,131,OP-03,1,67.05,3.988,50.537,psi,22.09,1735.6,16562.0,0
2026-06-08 03:00:00,M01,171,OP-09,1,66.4,2.326,4.164,bar,19.25,1770.3,21363.0,0
2026-06-08 03:00:00,M02,115,OP-09,1,65.03,3.349,3.813,bar,19.46,1757.1,14643.0,0
2026-06-08 03:00:00,M03,125,OP-11,1,74.43,,3.911,bar,21.0,1738.3,15843.0,0
2026-06-08 03:00:00,M04,163,OP-11,1,59.97,2.685,4.213,bar,18.92,1775.1,20403.0,0
